Timestamp (UTC_TIME),XBH4.EXPT.NP04.012:COUNTS,XBH4.GENERALTRIGGER:TIMESTAMP_COUNT
2018-10-28 08:06:55.335,0,0
2018-10-28 08:07:16.935,0,0
2018-10-28 08:07:38.535,0,0
2018-10-28 08:08:00.135,0,0
2018-10-28 08:08:21.735,0,0
2018-10-28 08:08:43.335,0,0
2018-10-28 08:09:04.935,0,0
2018-10-28 08:09:26.535,0,0
2018-10-28 08:09:48.135,0,0
2018-10-28 08:10:09.735,0,0
2018-10-28 08:10:31.335,1,1
2018-10-28 08:10:52.935,0,0
2018-10-28 08:11:14.535,0,0
2018-10-28 08:11:36.135,0,0
2018-10-28 08:11:57.735,0,0
2018-10-28 08:12:19.335,0,0
2018-10-28 08:12:40.935,0,0
2018-10-28 08:13:02.535,0,0
2018-10-28 08:13:24.135,0,0
2018-10-28 08:13:45.735,0,0
2018-10-28 08:14:07.335,0,0
2018-10-28 08:14:28.935,0,0
2018-10-28 08:14:50.535,0,0
2018-10-28 08:15:12.135,0,0
2018-10-28 08:15:33.735,0,0
2018-10-28 08:15:55.335,1,1
2018-10-28 08:16:16.935,0,0
2018-10-28 08:16:38.535,0,0
2018-10-28 08:17:00.135,0,0
2018-10-28 08:17:21.735,0,0
2018-10-28 08:17:43.335,0,0
2018-10-28 08:18:04.935,0,0
2018-10-28 08:18:26.535,0,0
2018-10-28 08:18:48.135,0,0
2018-10-28 08:19:09.735,0,0
2018-10-28 08:19:31.335,0,0
2018-10-28 08:19:52.935,0,0
2018-10-28 08:20:14.535,0,0
2018-10-28 08:20:36.135,0,0
2018-10-28 08:20:57.735,0,0
2018-10-28 08:21:19.335,0,0
2018-10-28 08:21:40.935,0,0
2018-10-28 08:22:02.535,0,0
2018-10-28 08:22:24.135,0,0
2018-10-28 08:22:45.735,0,0
2018-10-28 08:23:07.335,0,0
2018-10-28 08:23:28.935,0,0
2018-10-28 08:23:50.535,0,0
2018-10-28 08:24:12.135,0,0
2018-10-28 08:24:33.735,0,0
